temperature_2m,dew_point_2m,relative_humidity_2m,precipitation,rain,snowfall,snow_depth,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,surface_pressure,cloudcover,cloudcover_low,cloudcover_mid,cloudcover_high,soil_temperature_0_to_7cm,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_0_to_7cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,event_datetime,event_latitude,event_longitude,time,state,county,caused_power_outage,event_type
0.4,-0.3,95,0.1,0.1,0,0.01,13.6,22.7,348,349,26.6,1003.6,100,100,100,98,0.5,-0.5,1.4,7.3,0.418,0.412,0.386,0.366,02/02/14 17:00,38.1787175,-85.664528,02/02/14 17:00,delaware,new castle,0,heavy_snow
7.8,-7.2,34,0,0,0,0,19.9,27.5,55,56,34.6,950.1,66,0,48,40,8.1,4,2.6,6.5,0.288,0.27,0.198,0.19,22/02/14 23:00,39.796749,-98.7935393,22/02/14 23:00,virginia,henry,0,heavy_snow
2.4,0.6,88,0,0,0,0.28,12.6,27.2,24,26,22,976.2,100,0,99,100,-0.8,-0.7,0.3,2.1,0.429,0.419,0.381,0.368,12/03/14 1:00,42.2494968,-85.5372797,12/03/14 1:00,tennessee,campbell,0,heavy_snow
1.7,1.7,100,0.3,0.3,0,0.02,12.6,22.1,59,64,28.8,997.9,100,100,99,57,2.4,3.2,6,10.8,0.462,0.455,0.44,0.42,12/02/14 15:00,33.7303493,-87.7419088,12/02/14 15:00,virginia,amherst,1,heavy_snow
5.2,-8.6,36,0,0,0,0,11.2,14.8,356,357,20.2,1018.4,100,0,26,100,5.6,4,2.5,3.5,0.35,0.36,0.376,0.38,16/03/14 17:00,39.5729428,-75.9381806,16/03/14 17:00,new hampshire,belknap,0,heavy_snow
1,-2.1,80,0,0,0,0,22.7,38.4,61,68,40,935.4,99,0,99,98,0.6,-0.2,-1,0.9,0.356,0.36,0.328,0.321,18/03/14 9:00,44.0188394,-97.1267291,18/03/14 9:00,virginia,appomattox,0,heavy_snow
-0.6,-3,84,0,0,0,0,28.3,45.5,56,60,47.5,936.3,100,0,100,99,0.4,-0.4,-0.9,0.9,0.381,0.383,0.347,0.31,18/03/14 9:00,44.3631469,-97.4882433,18/03/14 9:00,washington,cascades of whatcom and skagit counties,0,heavy_snow
-1,-3,87,0,0,0,0,23.8,39,52,57,41.4,938.8,100,0,100,100,0.2,-0.9,-0.6,1.2,0.39,0.385,0.33,0.307,18/03/14 9:00,44.3763598,-96.7925213,18/03/14 9:00,idaho,southern clearwater mountains,0,heavy_snow
-7.6,-15.5,53,0,0,0,0.01,12.2,19.9,135,138,31,910.3,100,0,36,100,-1.7,-0.9,0.7,5.4,0.464,0.467,0.48,0.495,12/02/14 12:43,36.9118401,-81.0639347,12/02/14 12:00,new hampshire,western and central hillsborough,0,heavy_snow
-5.3,-14,50,0,0,0,0.03,17.7,31.4,128,130,42.5,938.5,100,0,36,100,-1.2,-0.1,1.6,6,0.434,0.437,0.462,0.457,12/02/14 13:25,37.1236041,-81.5684129,12/02/14 13:00,kentucky,hancock,0,heavy_snow
